year,month,rank,brand_model,forecast_volume,ml_probability
2024,1,1,Oldsmobile-Silhouette,16,0.99999251700521
2024,1,2,Mitsubishi-Diamante,12,0.9999999674676698
2024,1,3,Acura-RL,11,0.9999999627176869
2024,2,1,Mitsubishi-Diamante,14,0.99999997769352
2024,2,2,Chevrolet-Prizm,12,0.9999987031557207
2024,2,3,Oldsmobile-Silhouette,12,0.9999948691144155
2024,3,1,Mitsubishi-Diamante,28,0.9999900581847523
2024,3,2,Acura-RL,25,0.9999859701746976
2024,3,3,BMW-528i,25,0.9999636139574526
2024,4,1,Chevrolet-Prizm,29,0.9993462295004897
2024,4,2,BMW-528i,27,0.9997495848377183
2024,4,3,Volkswagen-Passat,27,0.9999392171623541
2024,5,1,Chrysler-LHS,33,0.9993999677553261
2024,5,2,Chevrolet-Prizm,31,0.9990031148871985
2024,5,3,BMW-528i,29,0.9994708307718132
2024,6,1,Volkswagen-Passat,36,0.9998692681946096
2024,6,2,Dodge-Ram Pickup,33,0.9993860519489429
2024,6,3,Mitsubishi-Diamante,31,0.9999179634577146
2024,7,1,Chevrolet-Prizm,33,0.9988254078761506
2024,7,2,Chrysler-LHS,28,0.999011404163698
2024,7,3,Oldsmobile-Silhouette,28,0.9641119075547606
2024,8,1,Dodge-Ram Pickup,38,0.9967925142804139
2024,8,2,Chevrolet-Prizm,35,0.9987789232483296
2024,8,3,Oldsmobile-Silhouette,34,0.9622605924008848
2024,9,1,Volkswagen-Jetta,75,0.0020892731283130386
2024,9,2,Chevrolet-Prizm,73,0.9982423947447777
2024,9,3,Dodge-Ram Pickup,71,0.027046350371744105
2024,10,1,Volkswagen-Passat,36,0.9989770263142905
2024,10,2,Dodge-Ram Pickup,35,0.028993151847028786
2024,10,3,Volkswagen-Jetta,35,0.003109847453014817
2024,11,1,Volkswagen-Jetta,68,0.0007063817238455585
2024,11,2,Chevrolet-Prizm,66,0.9980174866047772
2024,11,3,Mitsubishi-Diamante,66,0.9997463588523829
2024,12,1,Oldsmobile-Silhouette,74,0.9709835049523549
2024,12,2,Dodge-Ram Pickup,69,0.0008794752221254115
2024,12,3,Mitsubishi-Diamante,69,0.9996434718424629
